,title,links,date,year,doctype,text
10,Backgrounder – Biographical notes,https://www.canada.ca/en/global-affairs/news/2020/12/backgrounder--biographical-notes.html,12/11/20,2020, backgrounders,"Manjit SharmaManjit Sharma joined Export Development Canada’s board of directors in October 2020. She brings over 25 years of depth and experience in navigating a wide range of operational matters in a variety of industries. Manjit is Chief Financial Officer for WSP Canada Inc. and a member of the international consultancy’s Canadian Leadership Team. Before joining WSP, Manjit was on the National Executive Team of General Electric Canada (GE Canada), serving as chief financial officer. Her responsibilities spanned strategic planning and analysis, mergers and acquisitions, tax oversight, risk, governance, diversity and inclusion. She has also served on the board of GE Canada and is pastchair of the GE Canada Pension Trust, overseeing investment strategy. Active in her community, Manjit serves on the board of the Ontario Chamber of Commerce, and has had leadership roles with the Greater Toronto YMCA (past board member), Junior Achievement of Central Ontario (past governor) and FEI Young Luminaries Mentorship Program. She holds a Bachelor of Commerce degree from the University of Toronto, is a chartered professional, and is an alumna of the Rotman School of Management’s Judy Project for Executive Women in Leadership. In 2019, she was recognized as one of Canada’s Top 100 Most Powerful Women.Julian OvensJulian Ovens is a Senior Advisor with Crestview Strategy, based in Ottawa. He has extensive experience as an international corporate development leader, a natural resources executive, and a senior government advisor. Prior to joining Crestview Strategy, Julian was chief of staff to 2 of Canada’s former international trade ministers, FrançoisPhilippe Champagne and Jim Carr, as well as a former minister of foreign affairs, Stéphane Dion. He previously worked at BHP Billiton, the world’s largest natural resources company, as Head of Strategy and Development, Potash (formerly Diamonds) in Saskatoon, Saskatchewan, and Project Director, Iron Ore Africa, Minerals Exploration, based in Singapore."
11,Statement by Minister of Foreign Affairs and Minister of International Development on Human Rights Day,https://www.canada.ca/en/global-affairs/news/2020/12/statement-by-minister-of-foreign-affairs-and-minister-of-international-development-on-human-rights-day.html,12/10/20,2020, statements," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, and the Honourable Karina Gould, Minister of International Development, today issued the following statement:“This past year has presented some serious challenges, particularly when it comes to human rights. The pandemic has exposed inequalities and worsened the situation of many groups, including minorities. In some cases, pandemicrelated measures have been used to restrict human rights.“This year’s Human Rights Day is an occasion to affirm our conviction that human rights need to be at the centre of the COVID19 recovery. Human rights are universal, indivisible, interdependent and interrelated. They are also about equality of opportunity. The people marginalized and most affected by COVID19 must be heard. Only then will we build a more inclusive, just and equal postpandemic world that will be safer and more peaceful for all.“Today, Canada is announcing renewed support for the Office of the United Nations High Commissioner for Human Rights [OHCHR] through a contribution of $5 million. This funding will strengthen the OHCHR’s ability to promote and protect the human rights of all people. Canada has been and will remain a consistent and vocal advocate for human rights at home and around the world.”"
12,Minister Ng introduces legislation in House of Commons to implement Canada-United Kingdom Trade Continuity Agreement ,https://www.canada.ca/en/global-affairs/news/2020/12/minister-ng-introduces-legislation-in-house-of-commons-to-implement-canada-unitedkingdom-trade-continuity-agreement.html,12/9/20,2020, news releases," The Government of Canada has been working hard on a trade agreement between Canada and the United Kingdom that will support good, middleclass jobs in Canada and provide predictability and stability for businesses of all sizes, which is more important than ever during the COVID19 pandemic.Today, the Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, introduced Bill C18, An Act to implement the CanadaUnited Kingdom Trade Continuity Agreement (CanadaUK TCA), in the House of Commons.Subject to parliamentary approval, by preserving the main benefits of the CanadaEuropean Union Comprehensive Economic and Trade Agreement (CETA), including the elimination of tariffs on 98% of products exported to the United Kingdom, this agreement will maintain preferential access to the U.K. market for Canadian exporters, even as the United Kingdom exits CETA.If adopted, the TCA will include:continued opportunities for Canadian agriculture, fish, and seafood exporters, as well as commercially meaningful access for all Canadian productscontinued opportunities for Canadian service suppliers, including financial services; the agreement would maintain servicemarket access to the United Kingdom that is among the best that country has historically grantedcontinued guaranteed access for Canadian suppliers to the $188billion U.K. government procurement marketcontinued high CETA standards on labour, the environment, and dispute settlementThe Government of Canada looks forward to working with all members of Parliament and senators to swiftly ratify the TCA to help give Canadian businesses of all sizes, workers, and all other Canadians the stability they need now more than ever."
13,Minister of International Development to celebrate awarding of Nobel Peace Prize to World Food Programme,https://www.canada.ca/en/global-affairs/news/2020/12/minister-of-international-development-to-celebrate-awarding-of-nobel-peace-prize-to-world-food-programme.html,12/9/20,2020, media advisories," The Honourable Karina Gould, Minister of International Development, will be joined by Elly Vandenberg, Director Global Office Canada, World Food Programme; Jon Elvedal Fredriksen, Norway’s Ambassador to Canada; and Nicolas Moyer, President and CEO of Cooperation Canada, to celebrate the awarding of the Nobel Peace Prize 2020 to the World Food Programme. 
Date: Thursday, December 10, 2020 Time: Noon ET
Notes for media: The Minister and other participants will be present in person, respecting physical distancing. Media representatives wishing to participate may join in the following ways:

In person at 125B West Block, Parliament Hill, Ottawa, Ontario
Via teleconference at 8774134815, access code 9230662"
14,Two years since Canadians Michael Kovrig and Michael Spavor arbitrarily detained in China,https://www.canada.ca/en/global-affairs/news/2020/12/two-years-since-canadians-michael-kovrig-and-michael-spavor-arbitrarily-detained-in-china.html,12/9/20,2020, statements," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today issued the following statement:“December 10 marks two years since Michael Kovrig and Michael Spavor were arbitrarily detained in China.“These years have been stolen from Mr. Kovrig and Mr. Spavor, their families and loved ones.“I am struck by the integrity and strength of character the two have shown as they endure immense hardship that would shake anyone’s faith in humanity.“Both Mr. Kovrig and Mr. Spavor are incredible examples of perseverance and determination in the face of the most difficult circumstances. I know they draw enormous strength from their families, who have been steadfast in pressing for a resolution to this untenable situation.“These two Canadians are an absolute priority for our government, and we will continue to work tirelessly to secure their immediate release and to stand up for them as a government and as Canadians.“We are grateful to the many countries around the world that have expressed support for Canada and for Mr. Kovrig and Mr. Spavor.”"
15,Statement by Minister Ng on signing of Canada-United Kingdom Trade Continuity Agreement,https://www.canada.ca/en/global-affairs/news/2020/12/statement-by-minister-ng-on-signing-of-canada-united-kingdom-trade-continuity-agreement.html,12/9/20,2020, statements,"  The Honourable Mary Ng, Minister of Small Business, Export Promotion and International Trade, today issued the following statement regarding the signing of the CanadaUnited Kingdom Trade Continuity Agreement:“Canada welcomes the signing of the new CanadaUnited Kingdom Trade Continuity Agreement, which will support good, middleclass jobs in Canada and provide stability for businesses of all sizes.“At a time of great uncertainty amid COVID19, this continuity and predictability is crucial for all Canadians.“This transition agreement preserves the main benefits of the CanadaEuropean Union Comprehensive Economic and Trade Agreement, including the elimination of tariffs on 98% of products exported to the United Kingdom.“Canada and the United Kingdom will now move forward with their respective domestic procedures toward the ratification and implementation of the new trade agreement.“Our government looks forward to introducing and debating legislation in the House of Commons as soon as possible so that we can deliver the continuity Canadians need.“We also look forward to launching negotiations of a new comprehensive free trade agreement with the United Kingdom in the near future, with a focus on supporting small businesses, women, the environment and digital trade.”Associated linksCanada successfully concludes talks on transitional trade continuity agreement with the United Kingdom"
16,Government of Canada officials to provide technical briefing on Canada-United Kingdom Trade Continuity Agreement ,https://www.canada.ca/en/global-affairs/news/2020/12/government-of-canada-officials-to-provide-technical-briefing-on-canada-united-kingdom-trade-continuity-agreement.html,12/9/20,2020, media advisories," Government of Canada officials will offer a technical briefing on the CanadaUnited Kingdom Trade Continuity Agreement (CanadaU.K. TCA) following the tabling of its implementation legislation.
Event: Department officials to provide technical briefing on CanadaU.K. TCA Date: Wednesday, December 9, 2020 Time: 4 pm ET
Notes:

Conference call
Media representatives are asked to register with youmy.han@international.gc.ca and dial in no later than 3:45 pm ET on Wednesday, December 9, 2020
Journalists can dial in to listen and ask questions: Participant dialin numbers:

Local: 6139607526
Tollfree: 18774134815
Pass code: 5364484#
 
 Reporters are reminded to please mute their computer audio while speaking on the teleconference line to reduce feedback."
17,Canada announces support to improve safety and economic opportunities for women and most vulnerable in Ukraine ,https://www.canada.ca/en/global-affairs/news/2020/12/canada-announces-support-to-improve-safety-and-economic-opportunities-for-women-and-most-vulnerable-in-ukraine.html,12/9/20,2020, news releases," Canada is unwavering in its support for Ukraine as it secures its future as a stable, democratic and prosperous country. This includes supporting the Government of Ukraine to enhance the economic security of women, especially those affected by the conflict in eastern Ukraine.Today, in a meeting with the Ukrainian Canadian Congress (UCC), the Honourable Karina Gould, Minister of International Development, announced 4 projects totalling over $25 million to support the economic empowerment of rural women, internally displaced persons, persons with disabilities and other vulnerable groups in Ukraine. This follows a recent announcement that Canada is providing $7 million to increase security and protection from sexual and genderbased violence for women and girls across Ukraine.Key development partners will implement these projects to support an inclusive and sustainable economic growth by giving opportunities to those populations across the country."
18,Backgrounder - Canada’s support for women and most vulnerable in Ukraine,https://www.canada.ca/en/global-affairs/news/2020/12/backgrounder---canadas-support-for-women-and-most-vulnerable-in-ukraine.html,12/9/20,2020, backgrounders,"The Government of Canada has announced that it is providing over $32 million to support the economic empowerment of women and the most vulnerable and marginalized groups in Ukraine.Cooperative Development Foundation of Canada and local partner AllUkrainian Charity Foundation “Gorenie”: $5.1 millionThrough the project Supporting Economic Prosperity for Women and Internally Displaced Persons in Ukraine, the foundations will help internally displaced persons, women with disabilities and women living in rural or periurban areas in the regions of Kyiv, Kharkiv and Dnipropetrovsk to find jobs in existing garment enterprises or create livelihoods through entrepreneurship to meet the basic needs of their families.SOCODEVI and local partner Dnipropetrovsk Agricultural Advisory Service: $7.9 millionThe project Entrepreneurship Development for ConflictAffected Rural Population in Eastern Ukraine (WeProsper) will focus on supporting womenled agricultural value chains and promoting sustainable agricultural production, rural women’s economic empowerment and increased distribution of products by establishing agrifood cooperatives. This project supports women and the most vulnerable and marginalized living in rural Donetsk and Luhansk regions.ACTED: $4.3 millionThe project Securing Women’s Economic Empowerment in Donbas will target rural women, the elderly, unemployed women and men of preretirement age, singleheaded households with multiple children, and youth, including those who have been internally displaced. This project aims at creating economic opportunities for the most vulnerable, conflictaffected populations of the Donbas region through livelihood grants, small business training and a savings and loans initiative.Pact Inc.: $7.8 millionWomen Included: Nurturing Growth and Security (WINGS) supports women directly through skills and business development activities, including finding employment or starting a business. It targets Roma women, women with disabilities, survivors of genderbased violence, women who have served prison sentences, women living with HIV, veterans, widows and internally displaced persons.United Nations Population Fund: $7 millionThe Achieving Municipal Breakthrough in Effective Response to Sexual and GenderBased Violence in Ukraine (AMBER) project aims to increase security and protection from sexual and genderbased violence for women and girls in Ukraine by supporting a prevention and response system in municipalities and communities across the country."
19,Minister of Foreign Affairs leads Ministerial Coordination Group on COVID-19 ,https://www.canada.ca/en/global-affairs/news/2020/12/minister-of-foreign-affairs-leads-ministerial-coordination-group-on-covid-19.html,12/7/20,2020, readouts," Today, the Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, hosted the 12th call of the Ministerial Coordination Group on COVID19 with counterparts from Brazil, Germany, Italy, Mexico, South Africa and the United Kingdom.With many member states continuing to experience a second wave of COVID19 infections, the group discussed their respective domestic and international efforts on vaccines and economic recovery.Minister Champagne, along with foreign ministers, reiterated the importance of stopping the accelerating number of COVID19 cases many of their countries are facing.Foreign ministers mentioned upcoming vaccination campaigns and finding ways to assist with global access to vaccines."
20,Canada announces support to empower women in Southeast Asia and help build sustainable peace ,https://www.canada.ca/en/global-affairs/news/2020/12/canada-announces-support-to-empower-women-in-southeast-asia-and-help-build-sustainable-peace.html,12/7/20,2020, news releases," In Southeast Asia, women face rising extremism and targeted violence as COVID19 exacerbates existing conflict and fragility.Today, the Honourable Karina Gould, Minister of International Development, announced that Canada is providing $8.5 million over 5 years, beginning in 2020, to UN Women to empower women, prevent violence and promote social cohesion in Southeast Asia.The Minister made the announcement at the virtual highlevel global conference Strengthening Women’s Role in Building and Sustaining Peace: From Commitments to Results, hosted by Vietnam and the United Nations.Canada’s financial commitment will help address gender equality and discrimination against women and girls in the Association of Southeast Asian Nations (ASEAN) member states, advance Canada’s women, peace and security agenda, and build sustainable peace and security in Southeast Asia.Canada’s support will advance the empowerment of women in peace and security efforts by promoting their participation and leadership in peacebuilding.In selected countries, activities will include engaging communities and youth to challenge social norms and boost communityled initiatives to prevent and address conflict and contribute to building sustainable peace (for example, by supporting and accompanying women’s organizations as they engage in and influence peace processes)."
